user_id,sex,age,physical_activity_level,weight,height,body_fat,bmi,bmr,total_points
89,Male,55.0,2.0,45.0,100.0,46.0,,,0
90,Female,44.0,1.0,44.0,155.0,44.0,,,0
91,Male,43.0,0.0,134.0,123.0,17.0,,,0
92,Male,24.0,1.0,45.0,123.0,12.0,,,0
128,Male,29.0,1.0,68.0,175.0,8.0,,,0
131,Male,25.0,2.0,70.0,174.0,,,,0
13,Female,25.0,2.0,80.0,174.0,,,,0
93,,,,,,,,,0
94,Male,34.0,0.0,355.0,100.0,6.0,,,0
95,Male,20.0,1.0,42.0,199.0,1.0,,,0
96,Male,18.0,0.0,40.0,100.0,1.0,,,0
134,Male,24.0,3.0,76.0,176.0,14.0,,,20
106,Male,26.0,3.0,75.0,170.0,15.0,,,40
97,Female,18.0,0.0,40.0,100.0,1.0,,,0
84,Non-binary,19.0,1.0,55.0,100.0,100.0,,,0
104,Male,26.0,2.0,91.0,185.0,10.0,,,0
